ID,Tên sản phẩm,Giá,Giá gốc,% Giảm giá,Hình ảnh,URL,Sale
73418,ĐẦM TUYTSY KẺ TRẮNG NỀN ĐEN NHÚN EO,1.608.600 VND,2.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2506088diwopt.jpg,https://elise.vn/catalog/product/view/id/73418/s/dam-tuytsy-ke-trang-nen-den-nhun-eo-fs2506088diwopt/,Có
73413,ĐẦM TUYTSY ĐEN CỔ VEST BUỘC DÂY EO,1.608.600 VND,2.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/f/ff2506125diwobk.jpg,https://elise.vn/catalog/product/view/id/73413/s/dam-tuytsy-den-co-vest-buoc-day-eo-ff2506125diwobk/,Có
73408,ĐẦM TUYTSY BE VÂN Ô NHỎ CỔ ĐỨC,1.608.600 VND,2.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/f/ff2506097diwobe.jpg,https://elise.vn/catalog/product/view/id/73408/s/dam-tuytsy-be-van-o-nho-co-duc-ff2506097diwobe/,Có
73403,ĐẦM BÚT CHÌ BE SỮA XẾP NHÚN PEPLUM,1.468.600 VND,2.098.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2506115diwobe.jpg,https://elise.vn/catalog/product/view/id/73403/s/dam-but-chi-be-sua-xep-nhun-peplum-fw2506115diwobe/,Có
73398,QUẦN SUÔNG TRẮNG BẤU MÍ TÚI CHÉO,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507102bpwowh.jpg,https://elise.vn/catalog/product/view/id/73398/s/quan-suong-trang-bau-mi-tui-cheo-fw2507102bpwowh/,Có
73393,QUẦN SUÔNG SẠN XANH TÚI SƯỜN,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2504238bpwopw.jpg,https://elise.vn/quan-suong-san-xanh-tui-suon-fs2504238bpwopw.html,Có
73388,QUẦN SUÔNG NÂU VÀNG BẤU MÍ TRƯỚC,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507176bpwopt1.jpg,https://elise.vn/catalog/product/view/id/73388/s/quan-suong-nau-vang-bau-mi-truoc-fw2507176bpwopt/,Có
73383,QUẦN SUÔNG HỒNG MÔN CẠP CHÉO,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2506080bpwopk1.jpg,https://elise.vn/catalog/product/view/id/73383/s/quan-suong-hong-mon-cap-cheo-fw2506080bpwopk/,Có
73378,QUẦN SUÔNG ĐEN VÂN TÚI CHÉO,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2505226bpwobk.jpg,https://elise.vn/catalog/product/view/id/73378/s/quan-suong-den-van-tui-cheo-fs2505226bpwobk/,Có
73373,QUẦN SOOC ĐEN VÂN TÚI CHÉO,768.600 VND,1.098.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2505218bswobk2.jpg,https://elise.vn/catalog/product/view/id/73373/s/quan-sooc-den-van-tui-cheo-fs2505218bswobk/,Có
73368,QUẦN BAGGY ĐEN CẠP LIỀN TÚI DỌC,908.600 VND,1.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507046bpwobk2_1.jpg,https://elise.vn/catalog/product/view/id/73368/s/quan-baggy-den-cap-lien-tui-doc-fw2507046bpwobk/,Có
73363,JUPE XANH MINT XẺ SAU,838.600 VND,1.198.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/s/fs2504262bkwoge2.jpg,https://elise.vn/catalog/product/view/id/73363/s/jupe-xanh-mint-xe-sau-fs2504262bkwoge/,Có
73358,CV TUYTSY KẺ Ô TRẮNG HỒNG DẬP LY,1.048.600 VND,1.498.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2506085bkwopk1.jpg,https://elise.vn/catalog/product/view/id/73358/s/cv-tuytsy-ke-o-trang-hong-dap-ly-fw2506085bkwopk/,Có
73353,CHÂN VÁY DẠ ĐEN XẺ SAU,978.600 VND,1.398.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2505253bkwobk1.jpg,https://elise.vn/catalog/product/view/id/73353/s/chan-vay-da-den-xe-sau-fw2505253bkwobk/,Có
73348,VEST TUYTSY TRẮNG NẮP TÚI,1.608.600 VND,2.298.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2507131tuwowh1.jpg,https://elise.vn/catalog/product/view/id/73348/s/vest-tuytsy-trang-nap-tui-fw2507131tuwowh/,Có
73343,VEST TUYTSY HỒNG MÔN CƠI TÚI,1.468.600 VND,2.098.000 VND,30%,https://elise.vn/media/catalog/product/cache/b35d2052d2e1ce5f6cbaec523842ed65/f/w/fw2508049tuwopk1.jpg,https://elise.vn/catalog/product/view/id/73343/s/vest-tuytsy-hong-mon-coi-tui-fw2508049tuwopk/,Có
